Kline	MN	N00004436
Knight	CA	N00035820
Krause	IAS	N00004231
Krishnamoorthi	IL	N00033240
Kroeger	IA	N00037027
Kuster	NH	N00030875
Laboy	PR	N00036949
Labrador	ID	N00031377
LaHood	IL	N00037031
LaMalfa	CA	N00033987
Lamborn	CO	N00028133
Lance	NJ	N00000898
Lane	NY	N00036981
Langevin	RI	N00009724
Lankford	OKS	N00031129
Larchuk	PA	N00027088
Larose	FLS	N00030562
Larsen	WA	N00009759
Larson	CT	N00000575
Latta	OH	N00012233
Lauren	CA	N00029470
Law	NJ	N00036872
Law	NC	N00036940
Lawrence	MI	N00034068
Lawrence	MN	N00036939
Leahy	VTS	N00009918
Lee	CA	N00008046
Lee	UTS	N00031696
Lee	NV	N00037247
Levin	MI	N00003950
Lewis	GA	N00002577
Li	PA	N00037054
Lieber	MO	N00032290
Lieberman	LA	N00035295
Lieu	CA	N00035825
Lipinski	IL	N00027239
LoBiondo	NJ	N00000851
Loebsack	IA	N00027741
Lofgren	CA	N00007479
Long	MO	N00030676
Lopez	IL	N00037033
Loudermilk	GA	N00035347
Love	UT	N00033842
Lowe	FL	N00035572
Lowenthal	CA	N00033274
Lowey	NY	N00001024
Lucas	OK	N00005559
Luetkemeyer	MO	N00030026
Lujan	NM	N00029562
Lummis	WY	N00029788
Lynch	MA	N00013855
MacArthur	NJ	N00036155
Maddux	VA	N00037058
Maloney	NY	N00000078
Maloney	NY	N00034277
Marchant	TX	N00026710
Marino	PA	N00031777
Marshall	KS	N00037034
Massie	KY	N00034041
Masto	NVS	N00037161
Matsui	CA	N00027459
McCain	AZS	N00006424
McCarthy	CA	N00028152
McCaul	TX	N00026460
McClintock	CA	N00006863
McCollum	MN	N00012942
McCoy	NCS	N00036854
McDermott	WA	N00009829
McFall	NM	N00037051
McGovern	MA	N00000179
McHenry	NC	N00026627
McKinlay	FL	N00037180
McKinley	WV	N00031681
McMorris Rodgers	WA	N00026314
McNerney	CA	N00026926
McSally	AZ	N00033982
Meadows	NC	N00033631
Mealer	AZS	N00033559
Meehan	PA	N00031134
Meeks	NY	N00001171
Mellon	IL	N00028428
Meluskey	AZS	N00037230
Mendoza	CA	N00037022
Meng	NY	N00034547
Messer	IN	N00012546
Mica	FL	N00002793
Millard	NC	N00036942
Miller	FL	N00013846
Mills	MS	N00036924
Mills	TN	N00036491
Molnar	CAS	N00036900
Moolenaar	MI	N00036275
Mooney	WV	N00033814
Moore	WI	N00026914
Moran	KSS	N00005282
Moulton	MA	N00035431
Mowery	FL	N00037181
Mullin	OK	N00033410
Mulvaney	SC	N00031412
Murkowski	AKS	N00026050
Murphy	FLS	N00033091
Murphy	PA	N00024992
Murray	WAS	N00007876
Musante	CA	N00037177
Nadler	NY	N00000939
Nance	CA	N00036930
Napolitano	CA	N00006789
Naughton	PA	N00035377
Neal	MA	N00000153
Negron	FL	N00037025
Neugebauer	TX	N00026043
Newhouse	WA	N00036403
Noem	SD	N00032022
Nolan	MN	N00021207
Noland	IL	N00037250
Norcross	NJ	N00036154
Norris	CO	N00021222
Norris	AL	N00033875
Norton	DC	N00001692
Nugent	FL	N00032441
Nunes	CA	N00007248
O'Connor	NH	N00036943
O'Rourke	TX	N00033540
Olson	TX	N00029285
Ostrander	CA	N00037013
Otto	MO	N00037189
Pakootas	WA	N00035766
Palazzo	MS	N00031958
Pallone	NJ	N00000781
Palmer	AL	N00035691
Palzer	CAS	N00037157
Parra	CA	N00037012
Pascrell	NJ	N00000751
Pataki	None	N00028981
Patel	IA	N00036933
Paul	None	N00030836
Paulsen	MN	N00029391
Pavlov	MI	N00036986
Pawlowski	PAS	N00037162
Payne	NJ	N00034639
Pearce	NM	N00012672
Pearson	KYS	N00035203
Pelosi	CA	N00007360
Pena-Melnyk	MD	N00036991
Perlmutter	CO	N00027510
Perry	PA	N00034120
Peter	TX	N00036895
Peters	CA	N00033591
Peterson	MN	N00004558
Pierluisi	PR	N00029168
Pingree	ME	N00013817
Pirkle	MS	N00036996
Pistone	CT	N00030781
Pittenger	NC	N00034416
Pitts	PA	N00001633
Plaskett	VI	N00035000
Plaster	MD	N00036935
Pocan	WI	N00033549
Poe	TX	N00026457
Poliquin	ME	N00034584
Polis	CO	N00029127
Pompeo	KS	N00030744
Portman	OHS	N00003682
Posey	FL	N00029662
Powell	NY	N00000962
Price	NC	N00002260
Price	GA	N00026160
Quigley	IL	N00030581
Raasch	TX	N00025157
Radewagen	AS	N00007635
Raskin	MD	N00037036
Ratcliffe	TX	N00035972
Raty	IDS	N00036921
Reed	NY	N00030949
Reichert	WA	N00026885
Reigle	DE	N00036994
Renacci	OH	N00031127
Ribble	WI	N00030968
Rice	NY	N00035927
Rice	SC	N00033832
Richmond	LA	N00030184
Rigell	VA	N00030962
Ritchie	WA	N00035642
Robertson	OH	N00036946
Roby	AL	N00030768
Roche	NC	N00031007
Roe	TN	N00028463
Rogers	CA	N00036983
Rogers	KY	N00003473
Rogers	AL	N00024759
Rohrabacher	CA	N00007151
Rokita	IN	N00031741
Rooney	FL	N00029018
Ros-Lehtinen	FL	N00002858
Roskam	IL	N00004719
Ross	FL	N00030645
Ross	MS	N00031625
Rotering	IL	N00036988
Rothfus	PA	N00031253
Rouzer	NC	N00033527
Roybal-Allard	CA	N00006671
Royce	CA	N00008264
Rubio	None	N00030612
Rucker	MO	N00037040
Ruiz	CA	N00033510
Ruppersberger	MD	N00025482
Rush	IL	N00004887
Russell	OK	N00036175
Ryan	WI	N00004357
Ryan	OH	N00025280
Sablan	MP	N00030418
Salmon	AZ	N00006446
Sanborn	MI	N00037038
Sanchez	CA	N00024870
Sanchez	CAS	N00008274
Sanders	None	N00000528
Sanford	SC	N00002424
Santarsiero	PA	N00036948
Santorum	None	N00001380
Sarbanes	MD	N00027751
Scalise	LA	N00009660
Schakowsky	IL	N00004724
Schatz	HIS	N00028138
Schiff	CA	N00009585
Schnackenberg	FL	N00035317
Schneider	IL	N00033101
Schneider	CA	N00037016
Schock	IL	N00029273
Schrader	OR	N00030071
Schroeder	MDS	N00035367
Schroeder	IL	N00037183
Schultz	FL	N00026106
Schumer	NYS	N00001093
Schweikert	AZ	N00006460
Scott	GA	N00032457
Scott	VA	N00002147
Scott	GA	N00024871
Scott	WA	N00037195
Scott	SCS	N00031782
Sensenbrenner	WI	N00004291
Serrano	NY	N00001813
Sessions	TX	N00005681
Sestak	PAS	N00028049
Sewell	AL	N00030622
Shelby	ALS	N00009920
Sheridan	CA	N00035390
Sherman	CA	N00006897
Shimkus	IL	N00004961
Shuster	PA	N00013770
Simpson	ID	N00
